cellid_cordinate,cell_lon,cell_lat,PCI,cellid_cordinate,cell_lon_RSRP,cell_lat_RSRP,RSRP,cellid_cordinate,cell_lon_SNR,cell_lat_SNR,SNR,cellid_cordinate,cell_lon_RSRQ,cell_lon_RSRQ,RSRQ
45967.92701,-97.33808241,49.88257856,148.0,45967.92701,-97.33808241,49.88257856,-74.92,45967.92701,-97.33808241,49.88257856,21.77,45967.92701,-97.33808241,49.88257856,-7.95
45967.92702,-97.33809173,49.88257832,148.0,45967.92702,-97.33809173,49.88257832,-73.21,45967.92702,-97.33809173,49.88257832,25.31,45967.92702,-97.33809173,49.88257832,-6.82
45967.92704,-97.33810086,49.88257809,148.0,45967.92704,-97.33810086,49.88257809,-73.89,45967.92704,-97.33810086,49.88257809,24.02,45967.92704,-97.33810086,49.88257809,-10.02
45967.92705,-97.33810939,49.88257787,148.0,45967.92705,-97.33810939,49.88257787,-73.32,45967.92705,-97.33810939,49.88257787,24.92,45967.92705,-97.33810939,49.88257787,-7.81
45967.92706,-97.33811838,49.88257765,148.0,45967.92706,-97.33811838,49.88257765,-76.86,45967.92706,-97.33811838,49.88257765,23.35,45967.92706,-97.33811838,49.88257765,-7.75
45967.92707,-97.3381273,49.88257742,148.0,45967.92707,-97.3381273,49.88257742,-77.62,45967.92707,-97.3381273,49.88257742,23.82,45967.92707,-97.3381273,49.88257742,-7.34
45967.92708,-97.33813587,49.8825772,148.0,45967.92708,-97.33813587,49.8825772,-73.15,45967.92708,-97.33813587,49.8825772,37.52,45967.92708,-97.33813587,49.8825772,-8.48
45967.92709,-97.33814469,49.88257698,148.0,45967.92709,-97.33814469,49.88257698,-73.66,45967.92709,-97.33814469,49.88257698,22.98,45967.92709,-97.33814469,49.88257698,-8.12
45967.92711,-97.33815529,49.88257454,148.0,45967.92711,-97.33815529,49.88257454,-78.25,45967.92711,-97.33815529,49.88257454,32.42,45967.92711,-97.33815529,49.88257454,-14.47
45967.92712,-97.33817487,49.88256885,148.0,45967.92712,-97.33817487,49.88256885,-79.66,45967.92712,-97.33817487,49.88256885,20.95,45967.92712,-97.33817487,49.88256885,-7.51
45967.92713,-97.33819155,49.882564,148.0,45967.92713,-97.33819155,49.882564,-84.28,45967.92713,-97.33819155,49.882564,20.89,45967.92713,-97.33819155,49.882564,-8.68
45967.92714,-97.33820753,49.88255936,148.0,45967.92714,-97.33820753,49.88255936,-82.0,45967.92714,-97.33820753,49.88255936,21.55,45967.92714,-97.33820753,49.88255936,-8.7
45967.92715,-97.33821611,49.88256786,148.0,45967.92715,-97.33821611,49.88256786,-81.9,45967.92715,-97.33821611,49.88256786,20.62,45967.92715,-97.33821611,49.88256786,-9.92
45967.92716,-97.33822283,49.88257989,148.0,45967.92716,-97.33822283,49.88257989,-79.62,45967.92716,-97.33822283,49.88257989,21.66,45967.92716,-97.33822283,49.88257989,-10.23
45967.92718,-97.33822867,49.88259096,148.0,45967.92718,-97.33822867,49.88259096,-83.06,45967.92718,-97.33822867,49.88259096,21.55,45967.92718,-97.33822867,49.88259096,-10.52
45967.92719,-97.33822279,49.88259142,148.0,45967.92719,-97.33822279,49.88259142,-85.41,45967.92719,-97.33822279,49.88259142,21.87,45967.92719,-97.33822279,49.88259142,-8.58
45967.9272,-97.33821689,49.88259189,148.0,45967.9272,-97.33821689,49.88259189,-81.92,45967.9272,-97.33821689,49.88259189,22.14,45967.9272,-97.33821689,49.88259189,-8.5
45967.92721,-97.3382112,49.88259234,148.0,45967.92721,-97.3382112,49.88259234,-83.31,45967.92721,-97.3382112,49.88259234,21.03,45967.92721,-97.3382112,49.88259234,-10.95
45967.92722,-97.33820567,49.88259277,148.0,45967.92722,-97.33820567,49.88259277,-84.79,45967.92722,-97.33820567,49.88259277,22.0,45967.92722,-97.33820567,49.88259277,-7.19
45967.92723,-97.33820169,49.88259308,148.0,45967.92723,-97.33820169,49.88259308,-81.38,45967.92723,-97.33820169,49.88259308,22.03,45967.92723,-97.33820169,49.88259308,-7.54
45967.92724,-97.33819452,49.88259365,148.0,45967.92724,-97.33819452,49.88259365,-85.9,45967.92724,-97.33819452,49.88259365,20.96,45967.92724,-97.33819452,49.88259365,-7.32
45967.92726,-97.33818857,49.88259412,148.0,45967.92726,-97.33818857,49.88259412,-84.67,45967.92726,-97.33818857,49.88259412,22.97,45967.92726,-97.33818857,49.88259412,-7.19
45967.92727,-97.33818093,49.88259487,148.0,45967.92727,-97.33818093,49.88259487,-77.61,45967.92727,-97.33818093,49.88259487,20.63,45967.92727,-97.33818093,49.88259487,-7.43
45967.92728,-97.33816658,49.88259679,148.0,45967.92728,-97.33816658,49.88259679,-84.32,45967.92728,-97.33816658,49.88259679,22.51,45967.92728,-97.33816658,49.88259679,-7.07
45967.92729,-97.33815089,49.88259889,148.0,45967.92729,-97.33815089,49.88259889,-82.34,45967.92729,-97.33815089,49.88259889,23.19,45967.92729,-97.33815089,49.88259889,-9.27
45967.9273,-97.33813574,49.88260092,148.0,45967.9273,-97.33813574,49.88260092,-78.96,45967.9273,-97.33813574,49.88260092,21.89,45967.9273,-97.33813574,49.88260092,-9.29
45967.92731,-97.33812377,49.88260252,148.0,45967.92731,-97.33812377,49.88260252,-88.01,45967.92731,-97.33812377,49.88260252,22.03,45967.92731,-97.33812377,49.88260252,-8.96
45967.92733,-97.33811176,49.88260413,148.0,45967.92733,-97.33811176,49.88260413,-81.75,45967.92733,-97.33811176,49.88260413,22.71,45967.92733,-97.33811176,49.88260413,-9.36
45967.92734,-97.33809921,49.88260581,148.0,45967.92734,-97.33809921,49.88260581,-84.29,45967.92734,-97.33809921,49.88260581,22.61,45967.92734,-97.33809921,49.88260581,-10.49
45967.92735,-97.33808771,49.88260735,148.0,45967.92735,-97.33808771,49.88260735,-80.64,45967.92735,-97.33808771,49.88260735,23.34,45967.92735,-97.33808771,49.88260735,-7.56
45967.92736,-97.33808083,49.88261043,148.0,45967.92736,-97.33808083,49.88261043,-80.15,45967.92736,-97.33808083,49.88261043,22.8,45967.92736,-97.33808083,49.88261043,-7.02
45967.92737,-97.33809059,49.88263018,148.0,45967.92737,-97.33809059,49.88263018,-78.83,45967.92737,-97.33809059,49.88263018,23.2,45967.92737,-97.33809059,49.88263018,-8.51
45967.92738,-97.33809782,49.88264481,148.0,45967.92738,-97.33809782,49.88264481,-82.21,45967.92738,-97.33809782,49.88264481,23.15,45967.92738,-97.33809782,49.88264481,-7.58
45967.9274,-97.33810804,49.88265164,148.0,45967.9274,-97.33810804,49.88265164,-82.96,45967.9274,-97.33810804,49.88265164,22.89,45967.9274,-97.33810804,49.88265164,-9.85
45967.92741,-97.33812029,49.88264911,148.0,45967.92741,-97.33812029,49.88264911,-81.58,45967.92741,-97.33812029,49.88264911,23.55,45967.92741,-97.33812029,49.88264911,-7.77
45967.92742,-97.33813451,49.88264618,148.0,45967.92742,-97.33813451,49.88264618,-75.66,45967.92742,-97.33813451,49.88264618,23.67,45967.92742,-97.33813451,49.88264618,-7.85
45967.92743,-97.33814767,49.88264346,148.0,45967.92743,-97.33814767,49.88264346,-77.29,45967.92743,-97.33814767,49.88264346,23.04,45967.92743,-97.33814767,49.88264346,-8.82
45967.92744,-97.33816144,49.88264062,148.0,45967.92744,-97.33816144,49.88264062,-71.11,45967.92744,-97.33816144,49.88264062,23.86,45967.92744,-97.33816144,49.88264062,-7.56
45967.92745,-97.33817273,49.88263851,148.0,45967.92745,-97.33817273,49.88263851,-69.14,45967.92745,-97.33817273,49.88263851,40.0,45967.92745,-97.33817273,49.88263851,-10.58
45967.92746,-97.33818419,49.88263742,148.0,45967.92746,-97.33818419,49.88263742,-70.69,45967.92746,-97.33818419,49.88263742,23.17,45967.92746,-97.33818419,49.88263742,-7.28
45967.92748,-97.33819547,49.88263636,148.0,45967.92748,-97.33819547,49.88263636,-75.68,45967.92748,-97.33819547,49.88263636,22.97,45967.92748,-97.33819547,49.88263636,-8.26
45967.92749,-97.33820423,49.88263553,148.0,45967.92749,-97.33820423,49.88263553,-73.93,45967.92749,-97.33820423,49.88263553,22.7,45967.92749,-97.33820423,49.88263553,-8.5
45967.9275,-97.33821807,49.88263421,148.0,45967.9275,-97.33821807,49.88263421,-78.45,45967.9275,-97.33821807,49.88263421,23.75,45967.9275,-97.33821807,49.88263421,-8.2
45967.92751,-97.33822906,49.88263317,148.0,45967.92751,-97.33822906,49.88263317,-74.93,45967.92751,-97.33822906,49.88263317,23.82,45967.92751,-97.33822906,49.88263317,-8.48
45967.92752,-97.33824042,49.88263162,148.0,45967.92752,-97.33824042,49.88263162,-81.45,45967.92752,-97.33824042,49.88263162,24.35,45967.92752,-97.33824042,49.88263162,-7.81
45967.92753,-97.33825209,49.88262956,148.0,45967.92753,-97.33825209,49.88262956,-83.42,45967.92753,-97.33825209,49.88262956,22.82,45967.92753,-97.33825209,49.88262956,-9.14
45967.92755,-97.33826338,49.88262757,148.0,45967.92755,-97.33826338,49.88262757,-75.46,45967.92755,-97.33826338,49.88262757,22.64,45967.92755,-97.33826338,49.88262757,-7.77
45967.92756,-97.33827161,49.88262612,148.0,45967.92756,-97.33827161,49.88262612,-74.46,45967.92756,-97.33827161,49.88262612,22.37,45967.92756,-97.33827161,49.88262612,-7.77
45967.92757,-97.33828569,49.88262363,148.0,45967.92757,-97.33828569,49.88262363,-77.9,45967.92757,-97.33828569,49.88262363,23.54,45967.92757,-97.33828569,49.88262363,-9.71
45967.92758,-97.3382942,49.88262217,148.0,45967.92758,-97.3382942,49.88262217,-81.37,45967.92758,-97.3382942,49.88262217,20.58,45967.92758,-97.3382942,49.88262217,-12.69
